"recipient_cfscore","total_receipts","log_pac_receipts"
-0.707,1044468.12,13.3562937096498
-0.707,778668.26,13.278404235433
-0.707,627678.4,12.9939554545078
-0.398,9801.79,0
-0.499,866834.99,13.2843203260204
-0.499,583583.88,13.1026808612945
-0.499,660079.99,13.2823737130099
-0.489,1475983.78,13.0388569780706
-0.489,1499955.98,13.0545148509048
-0.489,255291.5,10.5828146744952
0.536,1040707.05,13.099411097556
0.536,194352.08,11.5134338357279
-0.503,939654.02,13.3250411337353
-0.503,4375.12,0
0.615,1003531.63,12.8321210436121
0.615,788960.16,12.5760526729801
0.615,1103561.86,13.038122682165
-0.143,1353.74,0
-0.202,11597.79,0
-0.202,14898.01,0
-0.72,743547.15,13.1264908476676
-0.72,471485.24,12.5338403214328
-0.72,389.96,5.92532474460344
-0.295,14597.01,0
-0.649,1894271.24,13.8160614062195
-0.649,893023.27,12.9524500471734
-0.649,2601.11,0
-0.368,644278.41,12.9637216278035
-0.368,13038.47,7.16816378604846
-0.658,103380.74,11.1049722641249
-0.718,1091666.32,12.9813278994269
-0.243,1359430.49,13.834855237281
-0.243,2589881.04,14.27739186528
-0.243,423,0
0.43,517353.1,12.1145109314417
0.43,2781.12,0
0.996,2702536.36,14.1418725146554
0.996,11109.41,0
-0.637,908449.38,13.34242760045
-0.637,1063565.6,13.5837547019905
-0.637,1103289.27,13.6176454232335
1.172,554919.59,12.5322331485001
1.172,438376.54,12.3605132833156
1.172,384926.81,12.23198889941
0.768,743699.28,13.1782729005938
0.768,385684.89,12.6297083309109
0.768,554,0
0.975,195588.7,11.27404625502
-0.79,931002.9,12.3920091189661
-0.429,5981.25,0
0.766,1535445.49,13.7702285699426
0.766,1332880.26,13.7726980420034
0.766,1335280.11,13.7613711118636
0.546,658473.84,12.2248301680711
0.546,486140.67,12.0859706732173
0.546,728767.64,12.4920962685146
0.771,1091197.21,12.8309339456975
0.771,234065.76,11.6881468752739
-0.48,4155102.7,14.8039069180675
-0.48,3869179.16,14.6825127214863
-0.48,3736291.14,14.724421812348
-0.477,452953.93,11.98376593147
-0.746,4686484.25,13.5821865739505
-0.746,14181.28,0
-0.35,26604.52,0
0.821,414031.54,11.4003412544731
0.821,1689.62,0
-0.212,1213184.51,12.7901166208548
-0.212,762303.64,12.6650658822559
-0.212,653995.05,12.7729505716203
-0.6,1150008.58,13.467796771225
-0.6,891853.46,13.4133913460972
-0.6,900736.85,13.2873598682108
-0.688,1836756.43,14.0594903355605
-0.688,1453214.21,13.9061191297838
-0.688,1306856.98,13.8536547303169
0.217,19062.37,8.5173931714189
-0.251,44958.66,0
-0.251,163.5,0
-0.109,174419,0
-0.535,771006.95,13.0653799247284
-0.535,5000,0
1.191,1535592.48,13.5332052580626
1.191,1172672.46,13.3606427461226
1.191,1350975.29,13.5015584020356
0.805,531611.09,12.8126265980277
0.805,90141.1,11.1272776899325
-0.315,16030.38,0
0.539,14775.33,0
0.539,8051.47,0
-0.662,116006.05,9.25512251474808
-0.301,785240.06,13.2519739862919
-0.301,937818.3,13.3352616486121
-0.301,1009860.99,13.3775128779413
-0.702,1333331.11,13.3241705177774
-0.702,1247992.6,13.3510593255941
-0.702,1502596.63,13.6718999113192
0.94,250691.38,10.4764707402093
0.94,1403.39,0
0.934,397779.8,12.6737329062313
0.979,427734.54,9.07119324056602
0.979,14070.55,0
-0.595,463592.37,0
-0.595,662134.78,0
-0.595,314496.84,0
-0.78,1238406.06,13.5536924443293
-0.78,723262.78,13.2664220754893
-0.78,1092287.29,13.3367503011181
-0.818,1141279.86,13.1689625717227
-0.818,839562.93,13.0553491970163
-0.818,793105.6,13.0060115445884
-0.772,2278708.56,13.8823202761052
-0.772,1112376.31,13.2660757673458
-0.772,1421769.16,13.4719046410428
1.222,1727471.98,13.7283848071615
1.222,1455927.03,13.5445812641303
1.222,1590453.96,13.5998171850221
0.877,4129538.09,14.800574162194
0.877,3926017.82,14.7968761171381
0.877,2985193.3,14.49805421939
-0.959,2305144.47,13.8623950980611
-0.959,2926898.74,13.9286615489131
-0.959,4416893.49,13.9834417939715
0.588,3355,0
0.588,5200,0
-0.458,468334.12,12.1456222366628
-0.458,18414.47,0
-0.458,5403.93,0
-0.404,1868760,13.9108216468591
-0.404,2415229.49,14.2850354663915
0.792,650921.79,13.0642042088587
0.792,509941.71,12.7367038377645
0.792,382499.02,12.4460029082859
1.042,659.02,0
-0.311,1062605.76,13.0468226870922
-0.311,1237732,13.0328237160866
-0.311,1650684.82,13.1313400661049
-0.761,2165669.24,12.7358770278939
-0.761,2133891.4,13.1207098310498
-0.761,1711257.5,13.0646304456194
-0.889,611669.76,12.6210676330779
-0.889,591924.55,12.9611400788025
-0.889,277749.1,12.0299379108227
-0.334,1793586.71,14.0730684673132
-0.334,1809130.37,14.1879524457922
-0.334,1792791.11,14.0985459789329
-0.619,341004.57,12.1973428010804
-0.619,91.12,0
-0.619,2000,7.60140233458373
1.018,493391.61,11.0401339531888
1.018,814010.5,10.7138842931463
1.018,887923.35,10.7441491558846
0.837,712777.03,12.9566416774496
0.837,60720.07,0
0.837,89400.52,0
-0.054,680.32,0
0.497,190.21,0
0.525,2146246.12,13.322608345894
0.525,1004276.28,12.878338648868
0.525,1558423.54,13.3216901228974
0.585,320457.93,9.10509096125709
1.142,18053902,14.9155315206518
-0.116,450401.1,12.7648874842199
