state,year,govelec,black,metro,unem,criv,crip,ag0_14,ag15_17,ag18_24,ag25_34,incpc,polpc,pris,final1,final2
1,80,0,0.256,0.632,0.08775,444.78683,4447.6377,0.24088341,0.057524394,0.13225475,0.1538264,7673.1763,235.00256,141.33472,0,0
1,81,0,0.2557,0.6362,0.10667,470.0944,4424.879,0.2367951,0.054605767,0.13243175,0.15845878,8442.723,227.22633,163.53365,0,0
1,82,1,0.2554,0.6404,0.14367,449.75797,4205.0444,0.23363058,0.05197452,0.13171974,0.15847133,8855.808,219.43948,183.69481,0,0
1,83,0,0.2551,0.6446,0.13667,418.6833,3708.4392,0.23131672,0.04956787,0.13040163,0.15963396,9411.027,222.59785,218.6242,0,0
1,84,0,0.2548,0.64879996,0.111669995,435.3239,3504.2256,0.22798581,0.048582997,0.1277834,0.16093117,10267.68,214.39777,245.06862,0,0
1,85,0,0.2545,0.65300006,0.08908,463.07578,3526.68,0.22527057,0.0488296,0.124087594,0.16259754,10974.39,220.53864,259.26114,0,0
1,86,1,0.2542,0.65720004,0.09833,566.5331,3787.3496,0.22244489,0.050100204,0.11973947,0.16382764,11666.695,226.80362,270.55124,0,0
1,87,0,0.2539,0.6614,0.07775,568.6924,3958.107,0.22042342,0.050062265,0.11606476,0.16438356,12289.268,241.17062,288.17633,0,0
1,88,0,0.2536,0.6656,0.07208,572.8628,4105.592,0.21968192,0.048707753,0.11356859,0.16351889,13052.042,256.26242,313.873,0,0
1,89,0,0.2533,0.66980004,0.07025,603.69727,4125.161,0.21910669,0.04640199,0.11166253,0.16203474,13967.873,268.88336,307.08252,0,0
1,90,1,0.253,0.674,0.06775,706.9136,4196.8887,0.2182716,0.044938274,0.10987654,0.15975308,14896.788,280.49384,336.84863,0,0
1,91,0,0.2527,0.6782,0.072,843.9609,4520.3423,0.2176039,0.04425428,0.10929095,0.1574572,15600.99,288.9731,379.3827,0,0
1,92,0,0.2524,0.6824,0.073,871.2421,4394.3213,0.2153214,0.043982603,0.10874819,0.15466408,16494.385,290.0435,400.978,0,0
1,93,0,0.2521,0.6866,0.075,780.4156,4098.352,0.21351802,0.04370671,0.108430855,0.1523764,17105.346,296.84738,409.3282,0,0
2,80,0,0.034,0.43400002,0.09592,477.36322,5703.9805,0.2686567,0.054726366,0.14925373,0.22636816,13784.794,315.9204,132.00992,0,0
2,81,0,0.0347,0.4317,0.09233,606.9378,5893.3013,0.26794258,0.05263158,0.13875598,0.23444977,15385.251,305.98087,142.0398,0,0
2,82,1,0.0354,0.4294,0.09983,607.11115,5439.778,0.26444444,0.04888889,0.1311111,0.23555556,17119.225,280.0,170.57416,0,0
2,83,0,0.0361,0.4271,0.10308,602.459,5305.123,0.26844263,0.047131147,0.125,0.23565574,17930.697,268.85245,193.77777,0,0
2,84,0,0.0368,0.4248,0.1015,604.66925,5343.9688,0.270428,0.046692606,0.12062257,0.23151751,17625.547,286.18677,219.67213,0,0
2,85,0,0.0375,0.4225,0.09608,569.7369,5185.7144,0.27631578,0.046992484,0.116541356,0.22556391,18430.637,294.54886,251.55643,0,0
2,86,1,0.0382,0.4202,0.10908,559.92645,5571.1396,0.27941176,0.04779412,0.113970585,0.21691178,17821.215,277.20587,287.594,0,0
2,87,0,0.038900003,0.4179,0.108,443.59927,4794.2485,0.2820037,0.048237476,0.111317255,0.2096475,17252.17,318.7384,306.25,0,0
2,88,0,0.0396,0.4156,0.09225,494.83395,4163.4688,0.2785978,0.044280443,0.10701107,0.2084871,17932.758,355.71957,327.8293,0,0
2,89,0,0.0403,0.4133,0.06742,479.52466,4125.594,0.2760512,0.042047534,0.10603291,0.20658134,19636.496,353.5649,343.54242,0,0
2,90,1,0.040999997,0.41099998,0.07025,520.7581,4595.1265,0.27256316,0.041516248,0.10108303,0.20397112,20848.021,350.1805,348.8117,0,0
2,91,0,0.0417,0.4087,0.085,614.9385,5096.661,0.2759227,0.04042179,0.09841827,0.19683655,21581.395,273.63797,334.11554,1,0
2,92,0,0.0424,0.4064,0.091000006,659.35376,4900.68,0.27380952,0.04251701,0.096938774,0.1887755,22235.414,233.84354,323.37433,0,1
2,93,0,0.0431,0.4041,0.076,760.76794,4807.1787,0.2721202,0.043405674,0.09682805,0.1803005,23014.133,275.95993,330.61224,0,1
3,80,0,0.027999999,0.751,0.067,650.2207,7512.6196,0.23730685,0.054083887,0.13576159,0.16335541,9332.06,299.48492,141.76784,0,0
3,81,0,0.028199999,0.7549,0.06125,572.3132,6995.5513,0.23202847,0.05053381,0.13451958,0.17081851,10250.007,302.63345,160.41208,0,0
3,82,1,0.028399998,0.75879997,0.09917,511.59167,6545.364,0.22906575,0.047750864,0.13217993,0.17266436,10476.102,294.6367,185.01779,0,0
3,83,0,0.0286,0.76269996,0.09117,493.1627,5885.4834,0.22701246,0.04580667,0.12899967,0.17514315,11228.498,288.21152,209.27336,0,0
3,84,0,0.028800001,0.7666,0.04933,513.72675,5955.983,0.22627975,0.044995107,0.12487773,0.17737202,12285.703,284.47995,227.11351,0,0
3,85,0,0.029000001,0.7705,0.06508,603.0779,6519.8184,0.2255025,0.04522613,0.12060302,0.17870604,13219.922,282.1294,249.29898,0,0
3,86,1,0.0292,0.7744,0.06925,660.0665,6681.227,0.22249094,0.045646917,0.11698911,0.1804716,13993.291,288.3011,259.8304,0,0
3,87,0,0.0294,0.77830005,0.06275,603.4914,6478.411,0.22345068,0.044806518,0.113762,0.18009892,14526.112,288.79837,273.21643,0,0
3,88,0,0.0296,0.78220004,0.06258,598.21783,6727.2417,0.22404526,0.04328147,0.11173975,0.17906648,15063.988,291.79633,307.18652,0,0
3,89,0,0.0298,0.78610003,0.052250005,588.62506,7324.2407,0.22749862,0.041137494,0.109884046,0.17586969,15639.458,294.16068,341.2447,0,0
3,90,1,0.03,0.79,0.05325,649.5789,7205.352,0.22928552,0.04047813,0.107036136,0.17223582,16254.542,298.66882,354.5831,0,0
3,91,0,0.030199999,0.7939,0.056999996,671.4362,6742.098,0.23144688,0.03977576,0.1033102,0.1692472,16758.816,338.441,375.79462,0,0
3,92,0,0.0304,0.7978,0.074,670.82465,6357.7505,0.23303759,0.04018789,0.10046973,0.1651879,17484.72,335.17746,397.54404,0,0
3,93,0,0.0306,0.8017,0.062,714.98987,6716.7427,0.23170732,0.04014228,0.0988313,0.16183943,18119.162,341.99695,416.10126,0,0
4,80,1,0.16299999,0.387,0.07608,334.90814,3472.8782,0.23709536,0.05686789,0.1216098,0.14654417,7384.177,200.3937,131.21973,0,0
4,81,0,0.1626,0.3884,0.09099999,310.46664,3487.658,0.2333188,0.05320541,0.122982986,0.15045792,8304.127,192.8478,127.34033,0,0
4,82,1,0.16219999,0.38979998,0.09774999,324.23712,3542.2405,0.23060158,0.050130777,0.1233653,0.14952049,8646.841,194.94333,145.13737,0,0
4,83,0,0.1618,0.39119998,0.10125,300.5204,3233.4346,0.2281006,0.04770165,0.12315699,0.15047702,9099.015,192.80139,170.96774,0,0
4,84,1,0.16139999,0.39259997,0.08941999,325.38794,3084.224,0.2262931,0.04698276,0.12068966,0.1512931,10052.484,195.43103,183.26106,0,0
4,85,0,0.161,0.39400002,0.08633,352.34207,3281.994,0.2247529,0.047271166,0.11731844,0.1521272,10674.928,197.29265,193.18965,0,0
4,86,1,0.16059999,0.39540002,0.08758,401.58664,3590.4373,0.22126931,0.04845626,0.11363636,0.1535163,11209.113,201.92966,203.0941,0,0
4,87,0,0.1602,0.3968,0.081,420.11102,3908.4968,0.22032452,0.04824936,0.10973527,0.15456875,11613.968,204.61145,221.22641,0,0
4,88,0,0.1598,0.3982,0.07667,436.9185,3924.968,0.22065727,0.047375157,0.10584721,0.15450278,12289.022,208.06659,234.45773,0,0
4,89,0,0.1594,0.3996,0.07242,485.8056,4186.4023,0.22080137,0.04560955,0.10315431,0.15387894,13086.788,211.59421,250.06401,0,0
4,90,1,0.159,0.401,0.06883,531.2527,4326.8364,0.21995755,0.044585988,0.101061575,0.15201698,13779.282,214.56476,279.02814,0,0
4,91,0,0.1586,0.40240002,0.073,593.5049,4583.5933,0.21931675,0.04428511,0.10122312,0.14888233,14456.4795,233.99411,308.87473,0,0
4,92,0,0.1582,0.4038,0.072,577.736,4193.9014,0.2176274,0.044695072,0.10150376,0.1453634,15585.84,237.80284,325.68536,0,0
4,93,0,0.1578,0.4052,0.062,593.2756,4217.45,0.21699671,0.044967,0.10189769,0.14191419,15996.538,214.85147,342.31412,0,0
5,80,0,0.077,0.953,0.06808,888.49927,6899.7886,0.21776238,0.052137908,0.13740072,0.17927158,11744.407,268.98343,91.41334,0,0
5,81,0,0.0767,0.95339996,0.074,858.4576,6692.342,0.21600921,0.04875237,0.13592193,0.18714485,12837.078,269.36096,98.29305,0,0
5,82,1,0.0764,0.95379996,0.0995,811.5592,6445.717,0.21619661,0.04625302,0.13360193,0.18908139,13410.308,265.95486,114.934525,0,0
5,83,0,0.0761,0.95419997,0.09667,766.92035,5861.542,0.21671924,0.044597793,0.13071766,0.19171925,14109.53,267.2358,135.3062,0,0
5,84,0,0.0758,0.9546,0.07775,756.8062,5655.978,0.21602693,0.044149514,0.12765051,0.19381674,15374.943,266.64215,149.94084,0,0
5,85,0,0.075500004,0.955,0.07192,763.0687,5736.205,0.21546084,0.04436292,0.1246549,0.19534057,16314.832,260.94702,161.167,0,0
5,86,1,0.0752,0.9554,0.06675,916.4269,5816.1724,0.21511328,0.044830643,0.12146705,0.19618478,17082.508,267.53375,182.76918,0,0
